city,outdoor_courts,covered_courts,total_courts,population_2024,courts_per_100k,land_area_km2,courts_per_km2
Pateros,3,10,13,67319,19.31104145932055,1.614315927734375,8.052946623803034
Mandaluyong,36,29,65,465902,13.951431846182244,11.376759302734374,5.713402056803418
Taguig,125,73,198,1308085,15.136631029329134,35.660932,5.552294595104805
Pasig,89,69,158,853050,18.521774808041734,31.376419892578124,5.035628683608158
Manila,92,113,205,1902590,10.77478594967912,42.1017322421875,4.869158323955668
San Juan,21,7,28,134312,20.84698314372506,5.783965646484375,4.84096927806254
Caloocan,114,137,251,1712945,14.653126632787394,53.410367796875,4.6994621148196964
Marikina,43,65,108,471323,22.91422230614674,22.99671149609375,4.6963236468981675
Las Pinas,71,65,136,615549,22.094098114041287,32.85228959375,4.139741907847829
Paranaque,93,83,176,703245,25.02683986377436,44.98068983203125,3.912790147443858
Quezon City,221,306,527,3084270,17.08670122914012,163.09372928320312,3.2312707687546594
Malabon,24,21,45,389929,11.540562512662563,15.835493767578125,2.8417175151262923
Muntinlupa,71,28,99,552225,17.927475213907375,39.29768336328125,2.519232471919784
Valenzuela,44,67,111,725173,15.306692334105104,46.71380816015625,2.376171080281902
Pasay,11,17,28,453186,6.178478593778273,17.94690463671875,1.5601576186409865
Makati,21,12,33,309770,10.653065177389676,25.050365791015626,1.3173460330002658
Navotas,5,6,11,252878,4.3499236786118205,10.544978619140625,1.043150526643406
PHILIPPINES (nationwide),11947,12079,24026,112729484,21.31296901882386,298170.0,0.08057819364791897
